REF_AREA_DESC,TIME_PERIOD,SEX_DESC,AGE_DESC,URBANIZATION_DESC,INCOME_WEALTH_QUANTILE_DESC,WITH_A_PLACE TO_USE_MENSTRUAL_HYGIENE_MATERIAL_VALUE,TIME_DETAIL
Montenegro,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,89.4800033569336,2017-2019 (latest available)
Montenegro,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,93.5800018310547,2017-2019 (latest available)
Montenegro,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,96.370002746582,2017-2019 (latest available)
Montenegro,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,95.1999969482422,2017-2019 (latest available)
Montenegro,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,96.9300003051758,2017-2019 (latest available)
Montenegro,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,93.6999969482422,2017-2019 (latest available)
Montenegro,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,97.9000015258789,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,94.4700012207031,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,95.3600006103516,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),93.9400024414062,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),95.9000015258789,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),93.1399993896484,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),96.2699966430664,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),94.0400009155273,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,94.75,2017-2019 (latest available)
Bangladesh,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,87.7200012207031,2017-2019 (latest available)
Bangladesh,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,90.6500015258789,2017-2019 (latest available)
Bangladesh,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,92.2699966430664,2017-2019 (latest available)
Bangladesh,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,93.7399978637695,2017-2019 (latest available)
Bangladesh,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,95.1500015258789,2017-2019 (latest available)
Bangladesh,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,96.0800018310547,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,95.9599990844727,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,95.3000030517578,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,93.4800033569336,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),92.9000015258789,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),96.4700012207031,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),90.7399978637695,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),93.9800033569336,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),94.620002746582,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,93.9100036621094,2017-2019 (latest available)
Sierra Leone,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,92.2399978637695,2017-2019 (latest available)
Sierra Leone,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,91.2099990844727,2017-2019 (latest available)
Sierra Leone,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,92,2017-2019 (latest available)
Sierra Leone,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,90.0699996948242,2017-2019 (latest available)
Sierra Leone,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,92.3000030517578,2017-2019 (latest available)
Sierra Leone,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,91.5800018310547,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,92.2900009155273,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,93.75,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,89.629997253418,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),89.8099975585938,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),92.8099975585938,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),90.6399993896484,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),92.0400009155273,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),92.5599975585938,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,91.7099990844727,2017-2019 (latest available)
Zimbabwe,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,93.5,2017-2019 (latest available)
Zimbabwe,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,94.0599975585938,2017-2019 (latest available)
Zimbabwe,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,94.6900024414062,2017-2019 (latest available)
Zimbabwe,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,93.9599990844727,2017-2019 (latest available)
Zimbabwe,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,94.6399993896484,2017-2019 (latest available)
Zimbabwe,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,95.1100006103516,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,95.1999969482422,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,96.3300018310547,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,93.4100036621094,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),93.5,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),96.8300018310547,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),91.0999984741211,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),93.6399993896484,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),95.8399963378906,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,94.5999984741211,2017-2019 (latest available)
Suriname,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,86.5999984741211,2017-2019 (latest available)
Suriname,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,88.1900024414062,2017-2019 (latest available)
Suriname,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,89.9300003051758,2017-2019 (latest available)
Suriname,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,90.5199966430664,2017-2019 (latest available)
Suriname,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,89.3000030517578,2017-2019 (latest available)
Suriname,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,89.9499969482422,2017-2019 (latest available)
Suriname,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,90.1999969482422,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,91.2799987792969,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,83.7399978637695,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),89.2900009155273,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),92.4599990844727,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),82.6699981689453,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),90.5999984741211,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),91.5500030517578,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,89.4400024414062,2017-2019 (latest available)
Togo,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,92.620002746582,2017-2019 (latest available)
Togo,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,88.25,2017-2019 (latest available)
Togo,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,89.4300003051758,2017-2019 (latest available)
Togo,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,90.8000030517578,2017-2019 (latest available)
Togo,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,89.8899993896484,2017-2019 (latest available)
Togo,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,90.4199981689453,2017-2019 (latest available)
Togo,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,85.129997253418,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,90.9000015258789,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,87.120002746582,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),86.5800018310547,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),90.379997253418,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),88.379997253418,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),87.75,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),90.5500030517578,2017-2019 (latest available)
Togo,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,89.0199966430664,2017-2019 (latest available)
Turkmenistan,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,96.9100036621094,2017-2019 (latest available)
Turkmenistan,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,98.5500030517578,2017-2019 (latest available)
Turkmenistan,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,98.1100006103516,2017-2019 (latest available)
Turkmenistan,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,98.120002746582,2017-2019 (latest available)
Turkmenistan,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,98.0899963378906,2017-2019 (latest available)
Turkmenistan,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,98.7399978637695,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,95.9499969482422,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,97.5599975585938,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,98.5699996948242,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),98.3399963378906,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),96.9100036621094,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),98.5,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),98.4499969482422,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),98.5500030517578,2017-2019 (latest available)
Turkmenistan,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,98.1100006103516,2017-2019 (latest available)
North Macedonia,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,93.870002746582,2017-2019 (latest available)
North Macedonia,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,96.7799987792969,2017-2019 (latest available)
North Macedonia,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,96.7699966430664,2017-2019 (latest available)
North Macedonia,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,96.3499984741211,2017-2019 (latest available)
North Macedonia,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,97.0699996948242,2017-2019 (latest available)
North Macedonia,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,96.1500015258789,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,96.7600021362305,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,96.6800003051758,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,95.5500030517578,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),98.5400009155273,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),95.1500015258789,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),95.0500030517578,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),96.6100006103516,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),96.0599975585938,2017-2019 (latest available)
North Macedonia,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,96.2699966430664,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,84.7699966430664,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,86.2399978637695,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,88.0199966430664,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,86.370002746582,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,86.2699966430664,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,87.4800033569336,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,87.7799987792969,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,89.2300033569336,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,84.5999984741211,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),86,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),91.4300003051758,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),82.5599975585938,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),85.9899978637695,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),86.4599990844727,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,87.0400009155273,2017-2019 (latest available)
Costa Rica,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,98.0500030517578,2017-2019 (latest available)
Costa Rica,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,97.6600036621094,2017-2019 (latest available)
Costa Rica,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,98.4899978637695,2017-2019 (latest available)
Costa Rica,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,97.5699996948242,2017-2019 (latest available)
Costa Rica,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,97.3199996948242,2017-2019 (latest available)
Costa Rica,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,98.3000030517578,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,98.1500015258789,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,97.8600006103516,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,98.120002746582,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),98.2399978637695,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),98.3499984741211,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),97.0699996948242,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),98.3000030517578,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),97.5400009155273,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,97.9300003051758,2017-2019 (latest available)
Gambia,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,94.3300018310547,2017-2019 (latest available)
Gambia,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,92.7399978637695,2017-2019 (latest available)
Gambia,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,94.7699966430664,2017-2019 (latest available)
Gambia,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,95.4700012207031,2017-2019 (latest available)
Gambia,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,94.6600036621094,2017-2019 (latest available)
Gambia,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,95.4000015258789,2017-2019 (latest available)
Gambia,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,95.4199981689453,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,93.8099975585938,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,97.9499969482422,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),96.2799987792969,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),93.6900024414062,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),97.6699981689453,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),94.9800033569336,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),93.2699966430664,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,94.9400024414062,2017-2019 (latest available)
Ghana,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,90.4700012207031,2017-2019 (latest available)
Ghana,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,90.6100006103516,2017-2019 (latest available)
Ghana,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,90.9599990844727,2017-2019 (latest available)
Ghana,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,93.7699966430664,2017-2019 (latest available)
Ghana,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,93.1999969482422,2017-2019 (latest available)
Ghana,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,93.129997253418,2017-2019 (latest available)
Ghana,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,91.4499969482422,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,92.8600006103516,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,91.2399978637695,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),92.5199966430664,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),94.0100021362305,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),89.1800003051758,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),91.8600006103516,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),91.8899993896484,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,92.0800018310547,2017-2019 (latest available)
Kiribati,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,91.2799987792969,2017-2019 (latest available)
Kiribati,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,89.3199996948242,2017-2019 (latest available)
Kiribati,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,89.75,2017-2019 (latest available)
Kiribati,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,91.870002746582,2017-2019 (latest available)
Kiribati,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,91.8600006103516,2017-2019 (latest available)
Kiribati,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,91.7600021362305,2017-2019 (latest available)
Kiribati,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,91.8000030517578,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,92.6399993896484,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,89.2799987792969,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),89.2699966430664,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),95.8300018310547,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),85.129997253418,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),91.0199966430664,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),93.0299987792969,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,91.2699966430664,2017-2019 (latest available)
Iraq,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,85.0599975585938,2017-2019 (latest available)
Iraq,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,85.5999984741211,2017-2019 (latest available)
Iraq,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,86.879997253418,2017-2019 (latest available)
Iraq,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,85.8399963378906,2017-2019 (latest available)
Iraq,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,86.4300003051758,2017-2019 (latest available)
Iraq,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,86.4700012207031,2017-2019 (latest available)
Iraq,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,86.6900024414062,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,86.7799987792969,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,84.6900024414062,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),88.6399993896484,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),86.9499969482422,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),84.3399963378906,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),85.8399963378906,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),85.1500015258789,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,86.1600036621094,2017-2019 (latest available)
Kyrgyzstan,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,89.4400024414062,2017-2019 (latest available)
Kyrgyzstan,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,90.6999969482422,2017-2019 (latest available)
Kyrgyzstan,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,91.5500030517578,2017-2019 (latest available)
Kyrgyzstan,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,90.870002746582,2017-2019 (latest available)
Kyrgyzstan,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,88.5800018310547,2017-2019 (latest available)
Kyrgyzstan,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,92.2200012207031,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,92.2099990844727,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,91.620002746582,2017-2019 (latest available)
