REF_AREA_DESC,TIME_PERIOD,SEX_DESC,AGE_DESC,URBANIZATION_DESC,INCOME_WEALTH_QUANTILE_DESC,DIDN’T_PARTICIPATE_ACTIVITIES_DURING_PERIOD_VALUE,TIME_DETAIL
Costa Rica,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,6.69999980926514,2017-2019 (latest available)
Gambia,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,10.3900003433228,2017-2019 (latest available)
Gambia,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,9.40999984741211,2017-2019 (latest available)
Gambia,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,11.1199998855591,2017-2019 (latest available)
Gambia,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,12.789999961853,2017-2019 (latest available)
Gambia,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,16.5100002288818,2017-2019 (latest available)
Gambia,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,26.7900009155273,2017-2019 (latest available)
Gambia,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,32.5099983215332,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,21.4799995422363,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,16.9200000762939,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),17.3899993896484,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),23.7399997711182,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),16.6299991607666,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),19.2299995422363,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),22.0300006866455,2017-2019 (latest available)
Gambia,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,20.2299995422363,2017-2019 (latest available)
Ghana,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,17.1700000762939,2017-2019 (latest available)
Ghana,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,16.5,2017-2019 (latest available)
Ghana,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,13.6099996566772,2017-2019 (latest available)
Ghana,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,20.0100002288818,2017-2019 (latest available)
Ghana,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,18.4899997711182,2017-2019 (latest available)
Ghana,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,21.0100002288818,2017-2019 (latest available)
Ghana,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,21.9500007629395,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,18.0799999237061,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,19.7199993133545,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),23.5,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),16.6499996185303,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),18.1499996185303,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),19.2299995422363,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),17.6700000762939,2017-2019 (latest available)
Ghana,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,18.8700008392334,2017-2019 (latest available)
Kiribati,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,18.6499996185303,2017-2019 (latest available)
Kiribati,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,15.0100002288818,2017-2019 (latest available)
Kiribati,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,17.75,2017-2019 (latest available)
Kiribati,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,15.5500001907349,2017-2019 (latest available)
Kiribati,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,14.9099998474121,2017-2019 (latest available)
Kiribati,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,16.5499992370605,2017-2019 (latest available)
Kiribati,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,15.5699996948242,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,17.1299991607666,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,14.5500001907349,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),15.6999998092651,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),14.2600002288818,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),14.6099996566772,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),19.0100002288818,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),16.8400001525879,2017-2019 (latest available)
Kiribati,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,16.0799999237061,2017-2019 (latest available)
Iraq,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,11.0600004196167,2017-2019 (latest available)
Iraq,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,13.0500001907349,2017-2019 (latest available)
Iraq,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,10.1899995803833,2017-2019 (latest available)
Iraq,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,12.1700000762939,2017-2019 (latest available)
Iraq,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,9.09000015258789,2017-2019 (latest available)
Iraq,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,9.52999973297119,2017-2019 (latest available)
Iraq,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,7.76000022888184,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,9.98999977111816,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,12.1400003433228,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),10.3900003433228,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),10.7799997329712,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),14.3199996948242,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),9.94999980926514,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),7.94000005722046,2017-2019 (latest available)
Iraq,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,10.6199998855591,2017-2019 (latest available)
Kyrgyzstan,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,6.78999996185303,2017-2019 (latest available)
Kyrgyzstan,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,5.11999988555908,2017-2019 (latest available)
Kyrgyzstan,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,5.19000005722046,2017-2019 (latest available)
Kyrgyzstan,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,4.48000001907349,2017-2019 (latest available)
Kyrgyzstan,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,5.17000007629395,2017-2019 (latest available)
Kyrgyzstan,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,10.039999961853,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,11.9399995803833,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,9.10000038146973,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,5.59000015258789,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),4.96999979019165,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),10.2299995422363,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),3.98000001907349,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),8.0600004196167,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),6.92999982833862,2017-2019 (latest available)
Kyrgyzstan,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,7,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,10.6999998092651,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,9.89000034332275,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,9.22000026702881,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,12.4799995422363,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,11.6499996185303,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,13.1499996185303,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,13.8000001907349,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,12.0699996948242,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,11.710000038147,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),14.4899997711182,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),11.1999998092651,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),10.5600004196167,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),11.9899997711182,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),11.1899995803833,2017-2019 (latest available)
Lao People's Democratic Republic,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,11.8400001525879,2017-2019 (latest available)
Lesotho,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,15.2299995422363,2017-2019 (latest available)
Lesotho,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,11.0500001907349,2017-2019 (latest available)
Lesotho,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,10.9399995803833,2017-2019 (latest available)
Lesotho,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,10.25,2017-2019 (latest available)
Lesotho,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,12.2700004577637,2017-2019 (latest available)
Lesotho,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,16.1200008392334,2017-2019 (latest available)
Lesotho,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,14.9300003051758,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,12.4899997711182,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,13.7600002288818,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),12.6599998474121,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),13.1300001144409,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),13.4499998092651,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),13.0100002288818,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),13.4300003051758,2017-2019 (latest available)
Lesotho,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,13.1400003433228,2017-2019 (latest available)
Madagascar,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,6.6399998664856,2017-2019 (latest available)
Madagascar,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,7.32000017166138,2017-2019 (latest available)
Madagascar,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,6.6100001335144,2017-2019 (latest available)
Madagascar,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,7.94000005722046,2017-2019 (latest available)
Madagascar,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,7.44000005722046,2017-2019 (latest available)
Madagascar,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,8.9399995803833,2017-2019 (latest available)
Madagascar,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,10.1099996566772,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,10.0900001525879,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,7.6100001335144,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),7.17999982833862,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),11.3900003433228,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),7.01000022888184,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),7.09999990463257,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),7.42999982833862,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,8.3100004196167,2017-2019 (latest available)
Mongolia,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,2.78999996185303,2017-2019 (latest available)
Mongolia,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,3.14000010490417,2017-2019 (latest available)
Mongolia,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,2.69000005722046,2017-2019 (latest available)
Mongolia,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,2.83999991416931,2017-2019 (latest available)
Mongolia,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,2.73000001907349,2017-2019 (latest available)
Mongolia,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,3.58999991416931,2017-2019 (latest available)
Mongolia,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,5.05000019073486,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,3.05999994277954,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,3.50999999046326,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),2.50999999046326,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),3.30999994277954,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),4.3600001335144,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),3.54999995231628,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),2.29999995231628,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,3.19000005722046,2017-2019 (latest available)
Montenegro,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,6.36999988555908,2017-2019 (latest available)
Montenegro,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,5.09999990463257,2017-2019 (latest available)
Montenegro,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,5.51000022888184,2017-2019 (latest available)
Montenegro,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,4.36999988555908,2017-2019 (latest available)
Montenegro,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,10.5500001907349,2017-2019 (latest available)
Montenegro,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,4.69999980926514,2017-2019 (latest available)
Montenegro,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,11.6700000762939,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,6.88000011444092,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,6.46999979019165,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),7.90999984741211,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),8.30000019073486,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),6.76000022888184,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),3.08999991416931,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),7.34000015258789,2017-2019 (latest available)
Montenegro,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,6.75,2017-2019 (latest available)
Bangladesh,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,6.28000020980835,2017-2019 (latest available)
Bangladesh,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,7.32000017166138,2017-2019 (latest available)
Bangladesh,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,6.98999977111816,2017-2019 (latest available)
Bangladesh,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,7.3600001335144,2017-2019 (latest available)
Bangladesh,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,7.57000017166138,2017-2019 (latest available)
Bangladesh,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,8.0600004196167,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,9.72000026702881,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,6.32999992370605,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,8.32999992370605,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),7.40999984741211,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),7.28999996185303,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),8.57999992370605,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),8.35999965667725,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),7.78000020980835,2017-2019 (latest available)
Bangladesh,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,7.8600001335144,2017-2019 (latest available)
Sierra Leone,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,19.8099994659424,2017-2019 (latest available)
Sierra Leone,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,16.4099998474121,2017-2019 (latest available)
Sierra Leone,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,20.3099994659424,2017-2019 (latest available)
Sierra Leone,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,19.0200004577637,2017-2019 (latest available)
Sierra Leone,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,19.0200004577637,2017-2019 (latest available)
Sierra Leone,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,20.2800006866455,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,23.3500003814697,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,19.8500003814697,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,20.4500007629395,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),18.8099994659424,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),18.7700004577637,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),23.9099998474121,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),18.9200000762939,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),20.9099998474121,2017-2019 (latest available)
Sierra Leone,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,20.1499996185303,2017-2019 (latest available)
Zimbabwe,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,15.0699996948242,2017-2019 (latest available)
Zimbabwe,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,13.4799995422363,2017-2019 (latest available)
Zimbabwe,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,12.1400003433228,2017-2019 (latest available)
Zimbabwe,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,13.8000001907349,2017-2019 (latest available)
Zimbabwe,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,15.0299997329712,2017-2019 (latest available)
Zimbabwe,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,18.7600002288818,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,21.8199996948242,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,15.5100002288818,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,16.8400001525879,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),17.7999992370605,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),15.4399995803833,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),18.0900001525879,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),16.3199996948242,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),15.0200004577637,2017-2019 (latest available)
Zimbabwe,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,16.2999992370605,2017-2019 (latest available)
Suriname,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,17.1000003814697,2017-2019 (latest available)
Suriname,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,14.2399997711182,2017-2019 (latest available)
Suriname,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,18.4500007629395,2017-2019 (latest available)
Suriname,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,17.3400001525879,2017-2019 (latest available)
Suriname,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,16.6800003051758,2017-2019 (latest available)
Suriname,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,18.7700004577637,2017-2019 (latest available)
Suriname,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,18.6100006103516,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,17.3999996185303,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,17.7600002288818,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),17.2700004577637,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),17.6100006103516,2017-2019 (latest available)
Suriname,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),16.2800006866455,2017-2019 (latest available)
